"genotype","temperature","mumax","alpha","CO2opt"
"CCMP1587","26",1.72353871987759,118.808341957523,749.36361762638
"CCMP1587","26",1.74053265015512,101.68266034987,738.441538236831
"CCMP1587","26",1.8545972346239,68.3258784158714,859.624894833233
"CCMP1587","26",1.84502990293882,82.2568349551614,769.714862950279
"CCMP1587","26",1.82621308837456,86.7911791252278,776.851880473421
"CCMP1587","26",1.7979046787635,80.1925966226098,639.519392585183
"CCMP1587","26",1.85728148581714,65.9039778094303,758.701140558776
"CCMP1587","26",1.78013317227155,59.1298789610519,808.370120603102
"CCMP1587","26",1.71365953671488,84.7300429433781,679.27531212928
"CCMP1587","26",1.78323215054184,104.132762907443,858.437524799007
"CCMP1587","26",1.84452743885309,116.595637449871,836.474723584833
"CCMP1587","26",1.85207303243278,100.454628519633,841.359239611131
"CCMP1587","26",1.73079057294901,95.423114166788,721.976293018122
"CCMP1587","26",1.85815854504086,52.8940020268625,793.435276475087
"CCMP1587","26",1.83415477693575,76.6678675158447,789.683903501065
"CCMP1587","26",1.95405655949873,47.2891537723167,741.141389989043
"CCMP1587","26",2.02673960996482,48.1730465052216,862.658353303888
"CCMP1587","26",1.87193683347954,42.7171905838542,901.557017387637
"CCMP1587","26",1.82328645415038,48.7093881469472,731.348532095853
"CCMP1587","26",1.66284173910027,93.69527035019,813.002691893103
"CCMP1587","26",1.91156487463573,102.940702925799,936.624979673874
"CCMP1587","26",1.61202275305623,42.2773614680679,746.110909952928
"CCMP1587","26",1.96371976971017,76.6106371220798,770.900272448335
"CCMP1587","26",1.85794547868766,51.2744314655618,763.541727695143
"CCMP1587","26",1.86032938345492,53.4182092119465,768.583167295685
"CCMP1587","26",1.89857865699039,64.4792495724252,914.411756457888
"CCMP1587","26",1.87290681781906,88.1569464304344,819.933100280211
"CCMP1587","26",1.78916116684836,74.6097580986146,762.182329897712
"CCMP1587","26",1.79373286142745,74.9127091196926,697.792624107872
"CCMP1587","26",1.7011831811688,83.0403452843849,856.270277009035
"CCMP1587","26",1.84860883774477,80.6209363065125,776.192454454327
"CCMP1587","26",1.96987669062527,59.5871678740117,781.645883601148
"CCMP1587","26",1.74453617532071,39.1785828581349,1735.88154336909
"CCMP1587","26",1.96308721251036,49.4769727380121,652.864395459831
"CCMP1587","26",1.88505319183756,45.707092089201,1054.09766365055
"CCMP1587","26",1.84861701177165,57.2465163685064,798.829916681458
"CCMP1587","26",1.86573555031335,69.8109185360744,884.196953733721
"CCMP1587","26",1.88667242280174,86.3156678030247,857.389508476961
"CCMP1587","26",1.75206482370111,100.708020026152,835.151269216651
"CCMP1587","26",1.85259246014704,47.5788310821881,742.215345894003
"CCMP1587","26",2.13035158334671,42.9118550872991,940.504594740968
"CCMP1587","26",1.70553714940349,87.8391745622262,900.094599096632
"CCMP1587","26",1.85358380202383,65.1124057260849,733.94716931695
"CCMP1587","26",1.85111224709485,57.8547252005087,780.928032933915
"CCMP1587","26",1.85448125627163,105.187767987151,804.360149915956
"CCMP1587","26",1.82994750374015,68.923100343756,779.265967316937
"CCMP1587","26",1.88670767742551,56.1151219070398,742.589749199196
"CCMP1587","26",1.91481435907748,59.2286663294838,759.709767288663
"CCMP1587","26",1.86477658285882,72.7637725938183,918.988413728531
"CCMP1587","26",1.82868830292381,65.1500303125114,817.910796597573
"CCMP1587","26",1.89834937973837,68.2280219469397,774.114295054993
"CCMP1587","26",1.89949393024192,65.0410415601641,1007.42245165485
"CCMP1587","26",1.81130547168609,75.7939847904745,838.457893460889
"CCMP1587","26",1.84882176277597,61.5623039003864,776.82893980236
"CCMP1587","26",1.82894994486484,72.8753509892865,845.265613150605
"CCMP1587","26",1.77826550306136,90.0661920533915,698.78461105662
"CCMP1587","26",1.8589056007987,69.6374589906996,715.644420278175
"CCMP1587","26",1.8602353350324,77.5624982586023,792.531609515825
"CCMP1587","26",1.67060800294983,97.6429256834047,654.874263720475
"CCMP1587","26",1.63103482669002,108.923049942383,684.914749692381
"CCMP1587","26",1.8696304453872,60.5743452283463,846.977838175803
"CCMP1587","26",1.76739655871999,88.5898486852096,748.35585695894
"CCMP1587","26",1.78227728464447,81.1388245948362,758.800188121622
"CCMP1587","26",1.7998972692222,90.8061782195763,793.380412476296
"CCMP1587","26",1.79629332765546,92.8573185269346,786.920177110778
"CCMP1587","26",1.76290375298128,90.3479521258928,683.018699879716
"CCMP1587","26",1.76625771036082,95.2650299855928,767.566935785214
"CCMP1587","26",1.83409292174939,113.025784403998,756.992839222938
"CCMP1587","26",1.73761163516573,83.1925122050074,653.571368276567
"CCMP1587","26",1.76291689590539,91.2588022264647,651.604849793434
"CCMP1587","26",1.81743022717423,57.1564426237025,901.575077820478
"CCMP1587","26",1.81743022717423,57.1564426237025,901.575077820478
"CCMP1587","26",1.80106482954269,53.0248551515273,811.167806860646
"CCMP1587","26",1.80824514442942,92.2037232396071,833.564724803102
"CCMP1587","26",1.78959203741577,98.8733325934331,764.92540391738
"CCMP1587","26",1.89719316776665,63.9244396891853,879.978866039726
"CCMP1587","26",1.86037965530838,48.9452396563686,727.813644012661
"CCMP1587","26",1.91022549931235,55.3264475348715,726.987007597215
"CCMP1587","26",1.75189025686134,53.388099898568,784.673240994266
"CCMP1587","26",1.85848868329259,66.7706026593316,754.905496022522
"CCMP1587","26",1.95014521278753,47.9187420432373,984.410223899405
"CCMP1587","26",1.78402188267455,70.9367040452675,693.516269519442
"CCMP1587","26",1.81034054536324,85.5334816834191,778.669598197118
"CCMP1587","26",1.73923407575031,77.9081880067538,813.12133348263
"CCMP1587","26",1.7572921167849,80.962918007957,780.780308772689
"CCMP1587","26",1.76880199409014,81.5507095408823,754.390045258801
"CCMP1587","26",1.76880199409014,81.5507095408823,754.390045258801
"CCMP1587","26",1.78942728336747,72.7404845946391,898.715637134274
"CCMP1587","26",1.79526883192222,68.6143708844481,865.474236497872
"CCMP1587","26",1.94039638128482,55.6089552193484,907.392954726823
"CCMP1587","26",1.71639715214346,84.2127411766124,715.615928314039
"CCMP1587","26",1.82663678979817,66.3767234125947,845.944615548937
"CCMP1587","26",1.75790948916016,80.7700021737706,777.523014688934
"CCMP1587","26",1.79259273215834,98.7097412328176,674.538130141264
"CCMP1587","26",1.77999084170255,103.965855360615,707.167614446932
"CCMP1587","26",1.85775148867546,66.8367918962125,860.498304161424
